,XID,YID,n_XY,n_X,n_Y,n_Transactions,Support,Confidence,Lift
70,FUR-CH-10002602,OFF-BI-10001900,1,11,4,5009,0.002196047,0.090909091,0.022727273
71,FUR-TA-10001520,OFF-BI-10001900,1,9,4,5009,0.001796766,0.111111111,0.027777778
72,OFF-AP-10004868,OFF-BI-10001900,1,4,4,5009,0.000798563,0.25,0.0625
73,OFF-AR-10000614,OFF-BI-10001900,1,4,4,5009,0.000798563,0.25,0.0625
74,OFF-SU-10000157,OFF-BI-10001900,1,8,4,5009,0.001597125,0.125,0.03125
75,TEC-AC-10003198,OFF-BI-10001900,1,6,4,5009,0.001197844,0.166666667,0.041666667
76,FUR-BO-10000330,OFF-LA-10002043,1,3,5,5009,0.000598922,0.333333333,0.066666667
77,OFF-AR-10001915,OFF-LA-10002043,1,7,5,5009,0.001397485,0.142857143,0.028571429
78,OFF-AR-10004685,OFF-LA-10002043,1,7,5,5009,0.001397485,0.142857143,0.028571429
79,OFF-EN-10002504,OFF-LA-10002043,1,7,5,5009,0.001397485,0.142857143,0.028571429
80,OFF-FA-10000490,OFF-LA-10002043,1,5,5,5009,0.000998203,0.2,0.04
81,OFF-LA-10002787,OFF-LA-10002043,1,6,5,5009,0.001197844,0.166666667,0.033333333
82,OFF-PA-10000673,OFF-LA-10002043,1,2,5,5009,0.000399281,0.5,0.1
83,OFF-PA-10002464,OFF-LA-10002043,1,4,5,5009,0.000798563,0.25,0.05
84,OFF-PA-10004470,OFF-LA-10002043,1,3,5,5009,0.000598922,0.333333333,0.066666667
85,OFF-ST-10000876,OFF-LA-10002043,1,8,5,5009,0.001597125,0.125,0.025
86,OFF-ST-10001713,OFF-LA-10002043,1,6,5,5009,0.001197844,0.166666667,0.033333333
87,OFF-SU-10001225,OFF-LA-10002043,1,8,5,5009,0.001597125,0.125,0.025
88,FUR-BO-10000330,OFF-SU-10001225,1,3,8,5009,0.000598922,0.333333333,0.041666667
89,FUR-BO-10002545,OFF-SU-10001225,1,8,8,5009,0.001597125,0.125,0.015625
90,FUR-FU-10000023,OFF-SU-10001225,1,9,8,5009,0.001796766,0.111111111,0.013888889
91,OFF-AR-10003752,OFF-SU-10001225,1,5,8,5009,0.000998203,0.2,0.025
92,OFF-BI-10002412,OFF-SU-10001225,1,5,8,5009,0.000998203,0.2,0.025
93,OFF-FA-10001561,OFF-SU-10001225,1,8,8,5009,0.001597125,0.125,0.015625
94,OFF-LA-10002043,OFF-SU-10001225,1,5,8,5009,0.000998203,0.2,0.025
95,OFF-PA-10000357,OFF-SU-10001225,1,12,8,5009,0.002395688,0.083333333,0.010416667
96,OFF-PA-10001977,OFF-SU-10001225,1,4,8,5009,0.000798563,0.25,0.03125
97,OFF-ST-10000025,OFF-SU-10001225,1,8,8,5009,0.001597125,0.125,0.015625
98,OFF-ST-10000046,OFF-SU-10001225,1,9,8,5009,0.001796766,0.111111111,0.013888889
99,OFF-ST-10001558,OFF-SU-10001225,1,11,8,5009,0.002196047,0.090909091,0.011363636
100,OFF-ST-10002406,OFF-SU-10001225,1,6,8,5009,0.001197844,0.166666667,0.020833333
101,TEC-AC-10002926,OFF-SU-10001225,1,8,8,5009,0.001597125,0.125,0.015625
102,FUR-BO-10000362,FUR-CH-10004218,1,5,9,5009,0.000998203,0.2,0.022222222
103,FUR-BO-10002213,FUR-CH-10004218,1,10,9,5009,0.001996406,0.1,0.011111111
104,FUR-BO-10002545,FUR-CH-10004218,1,8,9,5009,0.001597125,0.125,0.013888889
105,FUR-CH-10000513,FUR-CH-10004218,1,9,9,5009,0.001796766,0.111111111,0.012345679
106,FUR-FU-10000755,FUR-CH-10004218,1,2,9,5009,0.000399281,0.5,0.055555556
107,FUR-TA-10001932,FUR-CH-10004218,1,6,9,5009,0.001197844,0.166666667,0.018518519
108,OFF-AR-10000817,FUR-CH-10004218,1,7,9,5009,0.001397485,0.142857143,0.015873016
109,OFF-AR-10004272,FUR-CH-10004218,1,2,9,5009,0.000399281,0.5,0.055555556
110,OFF-BI-10003350,FUR-CH-10004218,1,4,9,5009,0.000798563,0.25,0.027777778
111,OFF-BI-10004519,FUR-CH-10004218,1,8,9,5009,0.001597125,0.125,0.013888889
112,OFF-EN-10002986,FUR-CH-10004218,1,2,9,5009,0.000399281,0.5,0.055555556
113,OFF-FA-10000585,FUR-CH-10004218,1,8,9,5009,0.001597125,0.125,0.013888889
114,OFF-PA-10000157,FUR-CH-10004218,1,10,9,5009,0.001996406,0.1,0.011111111
115,OFF-PA-10000246,FUR-CH-10004218,1,5,9,5009,0.000998203,0.2,0.022222222
116,OFF-PA-10002586,FUR-CH-10004218,1,6,9,5009,0.001197844,0.166666667,0.018518519
117,OFF-PA-10003228,FUR-CH-10004218,1,5,9,5009,0.000998203,0.2,0.022222222
118,OFF-ST-10003638,FUR-CH-10004218,1,5,9,5009,0.000998203,0.2,0.022222222
119,OFF-SU-10004231,FUR-CH-10004218,1,6,9,5009,0.001197844,0.166666667,0.018518519
120,TEC-AC-10001908,FUR-CH-10004218,1,6,9,5009,0.001197844,0.166666667,0.018518519
121,TEC-AC-10002049,FUR-CH-10004218,1,15,9,5009,0.00299461,0.066666667,0.007407407
122,TEC-PH-10000486,FUR-CH-10004218,1,3,9,5009,0.000598922,0.333333333,0.037037037
123,TEC-PH-10001578,FUR-CH-10004218,1,4,9,5009,0.000798563,0.25,0.027777778
124,FUR-BO-10000362,FUR-FU-10003878,1,5,6,5009,0.000998203,0.2,0.033333333
125,FUR-FU-10002268,FUR-FU-10003878,1,7,6,5009,0.001397485,0.142857143,0.023809524
126,FUR-TA-10003837,FUR-FU-10003878,1,2,6,5009,0.000399281,0.5,0.083333333
127,OFF-AP-10000026,FUR-FU-10003878,1,6,6,5009,0.001197844,0.166666667,0.027777778
128,OFF-EN-10002973,FUR-FU-10003878,1,3,6,5009,0.000598922,0.333333333,0.055555556
129,OFF-LA-10001641,FUR-FU-10003878,1,8,6,5009,0.001597125,0.125,0.020833333
130,OFF-PA-10000349,FUR-FU-10003878,1,9,6,5009,0.001796766,0.111111111,0.018518519
131,TEC-MA-10003356,FUR-FU-10003878,1,2,6,5009,0.000399281,0.5,0.083333333
132,TEC-PH-10004434,FUR-FU-10003878,1,3,6,5009,0.000598922,0.333333333,0.055555556
133,FUR-BO-10000362,OFF-BI-10002429,1,5,9,5009,0.000998203,0.2,0.022222222
134,FUR-CH-10003535,OFF-BI-10002429,1,8,9,5009,0.001597125,0.125,0.013888889
135,FUR-FU-10001095,OFF-BI-10002429,1,8,9,5009,0.001597125,0.125,0.013888889
136,FUR-FU-10001185,OFF-BI-10002429,1,5,9,5009,0.000998203,0.2,0.022222222
137,OFF-AR-10003856,OFF-BI-10002429,1,6,9,5009,0.001197844,0.166666667,0.018518519
138,OFF-FA-10004854,OFF-BI-10002429,1,8,9,5009,0.001597125,0.125,0.013888889
139,OFF-LA-10001569,OFF-BI-10002429,1,11,9,5009,0.002196047,0.090909091,0.01010101
140,OFF-LA-10001982,OFF-BI-10002429,1,5,9,5009,0.000998203,0.2,0.022222222
141,OFF-LA-10002787,OFF-BI-10002429,1,6,9,5009,0.001197844,0.166666667,0.018518519
142,OFF-PA-10000061,OFF-BI-10002429,1,4,9,5009,0.000798563,0.25,0.027777778
143,OFF-PA-10001215,OFF-BI-10002429,1,3,9,5009,0.000598922,0.333333333,0.037037037
144,OFF-PA-10002581,OFF-BI-10002429,1,6,9,5009,0.001197844,0.166666667,0.018518519
145,OFF-ST-10000046,OFF-BI-10002429,1,9,9,5009,0.001796766,0.111111111,0.012345679
146,OFF-ST-10003816,OFF-BI-10002429,1,8,9,5009,0.001597125,0.125,0.013888889
147,TEC-CO-10001943,OFF-BI-10002429,1,6,9,5009,0.001197844,0.166666667,0.018518519
148,TEC-MA-10002694,OFF-BI-10002429,1,1,9,5009,0.000199641,1,0.111111111
149,FUR-BO-10000362,OFF-LA-10001569,1,5,11,5009,0.000998203,0.2,0.018181818
150,FUR-FU-10004018,OFF-LA-10001569,1,8,11,5009,0.001597125,0.125,0.011363636
151,FUR-TA-10004534,OFF-LA-10001569,1,5,11,5009,0.000998203,0.2,0.018181818
152,OFF-AR-10002280,OFF-LA-10001569,1,2,11,5009,0.000399281,0.5,0.045454545
153,OFF-BI-10001132,OFF-LA-10001569,1,4,11,5009,0.000798563,0.25,0.022727273
154,OFF-BI-10002429,OFF-LA-10001569,1,9,11,5009,0.001796766,0.111111111,0.01010101
155,OFF-BI-10002954,OFF-LA-10001569,1,6,11,5009,0.001197844,0.166666667,0.015151515
156,OFF-EN-10000461,OFF-LA-10001569,1,8,11,5009,0.001597125,0.125,0.011363636
157,OFF-LA-10002787,OFF-LA-10001569,1,6,11,5009,0.001197844,0.166666667,0.015151515
158,OFF-LA-10003190,OFF-LA-10001569,1,9,11,5009,0.001796766,0.111111111,0.01010101
159,OFF-LA-10004409,OFF-LA-10001569,1,5,11,5009,0.000998203,0.2,0.018181818
160,OFF-PA-10001569,OFF-LA-10001569,1,4,11,5009,0.000798563,0.25,0.022727273
161,OFF-PA-10003724,OFF-LA-10001569,1,7,11,5009,0.001397485,0.142857143,0.012987013
162,OFF-ST-10001031,OFF-LA-10001569,1,5,11,5009,0.000998203,0.2,0.018181818
163,OFF-SU-10000432,OFF-LA-10001569,1,4,11,5009,0.000798563,0.25,0.022727273
164,TEC-AC-10004227,OFF-LA-10001569,1,7,11,5009,0.001397485,0.142857143,0.012987013
165,TEC-MA-10003066,OFF-LA-10001569,1,1,11,5009,0.000199641,1,0.090909091
166,TEC-PH-10002114,OFF-LA-10001569,1,1,11,5009,0.000199641,1,0.090909091
167,TEC-PH-10003095,OFF-LA-10001569,1,7,11,5009,0.001397485,0.142857143,0.012987013
168,FUR-BO-10000362,OFF-LA-10002787,1,5,6,5009,0.000998203,0.2,0.033333333
169,OFF-AR-10001915,OFF-LA-10002787,1,7,6,5009,0.001397485,0.142857143,0.023809524
170,OFF-BI-10002429,OFF-LA-10002787,1,9,6,5009,0.001796766,0.111111111,0.018518519
171,OFF-BI-10003196,OFF-LA-10002787,1,8,6,5009,0.001597125,0.125,0.020833333
172,OFF-BI-10003727,OFF-LA-10002787,1,9,6,5009,0.001796766,0.111111111,0.018518519
173,OFF-LA-10001569,OFF-LA-10002787,1,11,6,5009,0.002196047,0.090909091,0.015151515
174,OFF-LA-10002043,OFF-LA-10002787,1,5,6,5009,0.000998203,0.2,0.033333333
175,OFF-PA-10003228,OFF-LA-10002787,1,5,6,5009,0.000998203,0.2,0.033333333
176,OFF-ST-10000585,OFF-LA-10002787,1,7,6,5009,0.001397485,0.142857143,0.023809524
177,TEC-PH-10001305,OFF-LA-10002787,1,6,6,5009,0.001197844,0.166666667,0.027777778
178,TEC-PH-10001615,OFF-LA-10002787,1,5,6,5009,0.000998203,0.2,0.033333333
179,TEC-PH-10003645,OFF-LA-10002787,1,7,6,5009,0.001397485,0.142857143,0.023809524
180,FUR-BO-10000362,OFF-PA-10000349,1,5,9,5009,0.000998203,0.2,0.022222222
181,FUR-CH-10000595,OFF-PA-10000349,1,8,9,5009,0.001597125,0.125,0.013888889
182,FUR-CH-10002880,OFF-PA-10000349,1,14,9,5009,0.002794969,0.071428571,0.007936508
183,FUR-FU-10002456,OFF-PA-10000349,1,7,9,5009,0.001397485,0.142857143,0.015873016
184,FUR-FU-10002671,OFF-PA-10000349,1,5,9,5009,0.000998203,0.2,0.022222222
185,FUR-FU-10003878,OFF-PA-10000349,1,6,9,5009,0.001197844,0.166666667,0.018518519
186,OFF-AR-10000658,OFF-PA-10000349,1,7,9,5009,0.001397485,0.142857143,0.015873016
187,OFF-AR-10001860,OFF-PA-10000349,1,6,9,5009,0.001197844,0.166666667,0.018518519
188,OFF-BI-10000320,OFF-PA-10000349,1,10,9,5009,0.001996406,0.1,0.011111111
189,OFF-BI-10001636,OFF-PA-10000349,1,9,9,5009,0.001796766,0.111111111,0.012345679
190,OFF-EN-10004483,OFF-PA-10000349,1,7,9,5009,0.001397485,0.142857143,0.015873016
191,OFF-PA-10001166,OFF-PA-10000349,1,10,9,5009,0.001996406,0.1,0.011111111
192,OFF-PA-10003349,OFF-PA-10000349,1,6,9,5009,0.001197844,0.166666667,0.018518519
193,TEC-AC-10004859,OFF-PA-10000349,1,4,9,5009,0.000798563,0.25,0.027777778
194,TEC-MA-10003356,OFF-PA-10000349,1,2,9,5009,0.000399281,0.5,0.055555556
195,FUR-BO-10000362,OFF-PA-10002586,1,5,6,5009,0.000998203,0.2,0.033333333
196,FUR-CH-10004218,OFF-PA-10002586,1,9,6,5009,0.001796766,0.111111111,0.018518519
197,FUR-FU-10002253,OFF-PA-10002586,1,7,6,5009,0.001397485,0.142857143,0.023809524
198,FUR-FU-10004963,OFF-PA-10002586,1,6,6,5009,0.001197844,0.166666667,0.027777778
199,OFF-AP-10000692,OFF-PA-10002586,1,6,6,5009,0.001197844,0.166666667,0.027777778
200,OFF-AP-10003281,OFF-PA-10002586,1,5,6,5009,0.000998203,0.2,0.033333333
201,OFF-AP-10004785,OFF-PA-10002586,1,4,6,5009,0.000798563,0.25,0.041666667
202,OFF-AR-10004042,OFF-PA-10002586,1,6,6,5009,0.001197844,0.166666667,0.027777778
203,OFF-BI-10001553,OFF-PA-10002586,1,8,6,5009,0.001597125,0.125,0.020833333
204,OFF-BI-10002012,OFF-PA-10002586,1,12,6,5009,0.002395688,0.083333333,0.013888889
205,OFF-BI-10002071,OFF-PA-10002586,1,9,6,5009,0.001796766,0.111111111,0.018518519
206,OFF-BI-10002954,OFF-PA-10002586,1,6,6,5009,0.001197844,0.166666667,0.027777778
207,OFF-BI-10003669,OFF-PA-10002586,1,7,6,5009,0.001397485,0.142857143,0.023809524
208,OFF-PA-10003039,OFF-PA-10002586,1,6,6,5009,0.001197844,0.166666667,0.027777778
209,OFF-PA-10003228,OFF-PA-10002586,1,5,6,5009,0.000998203,0.2,0.033333333
210,OFF-ST-10000025,OFF-PA-10002586,1,8,6,5009,0.001597125,0.125,0.020833333
211,OFF-ST-10004804,OFF-PA-10002586,1,10,6,5009,0.001996406,0.1,0.016666667
212,TEC-AC-10002049,OFF-PA-10002586,1,15,6,5009,0.00299461,0.066666667,0.011111111
213,TEC-AC-10002217,OFF-PA-10002586,1,7,6,5009,0.001397485,0.142857143,0.023809524
214,TEC-AC-10003023,OFF-PA-10002586,1,5,6,5009,0.000998203,0.2,0.033333333
215,FUR-BO-10000362,OFF-PA-10003228,1,5,5,5009,0.000998203,0.2,0.04
216,FUR-CH-10004218,OFF-PA-10003228,1,9,5,5009,0.001796766,0.111111111,0.022222222
217,FUR-FU-10002963,OFF-PA-10003228,1,4,5,5009,0.000798563,0.25,0.05
218,OFF-AR-10000380,OFF-PA-10003228,1,10,5,5009,0.001996406,0.1,0.02
219,OFF-BI-10003196,OFF-PA-10003228,1,8,5,5009,0.001597125,0.125,0.025
220,OFF-BI-10003727,OFF-PA-10003228,1,9,5,5009,0.001796766,0.111111111,0.022222222
221,OFF-LA-10002787,OFF-PA-10003228,1,6,5,5009,0.001197844,0.166666667,0.033333333
222,OFF-PA-10000673,OFF-PA-10003228,1,2,5,5009,0.000399281,0.5,0.1
223,OFF-PA-10002586,OFF-PA-10003228,1,6,5,5009,0.001197844,0.166666667,0.033333333
224,OFF-PA-10003848,OFF-PA-10003228,1,8,5,5009,0.001597125,0.125,0.025
225,OFF-SU-10004261,OFF-PA-10003228,1,4,5,5009,0.000798563,0.25,0.05
226,OFF-SU-10004498,OFF-PA-10003228,1,7,5,5009,0.001397485,0.142857143,0.028571429
227,TEC-AC-10002049,OFF-PA-10003228,1,15,5,5009,0.00299461,0.066666667,0.013333333
228,TEC-PH-10001305,OFF-PA-10003228,1,6,5,5009,0.001197844,0.166666667,0.033333333
229,TEC-PH-10001552,OFF-PA-10003228,1,10,5,5009,0.001996406,0.1,0.02
230,TEC-PH-10002447,OFF-PA-10003228,1,4,5,5009,0.000798563,0.25,0.05
231,TEC-PH-10004345,OFF-PA-10003228,1,5,5,5009,0.000998203,0.2,0.04
232,FUR-BO-10000362,TEC-AC-10002049,1,5,15,5009,0.000998203,0.2,0.013333333
233,FUR-BO-10002613,TEC-AC-10002049,1,6,15,5009,0.001197844,0.166666667,0.011111111
234,FUR-CH-10004218,TEC-AC-10002049,1,9,15,5009,0.001796766,0.111111111,0.007407407
235,FUR-FU-10001934,TEC-AC-10002049,1,5,15,5009,0.000998203,0.2,0.013333333
236,FUR-FU-10004017,TEC-AC-10002049,1,7,15,5009,0.001397485,0.142857143,0.00952381
237,FUR-FU-10004091,TEC-AC-10002049,1,8,15,5009,0.001597125,0.125,0.008333333
238,FUR-TA-10001768,TEC-AC-10002049,1,6,15,5009,0.001197844,0.166666667,0.011111111
239,OFF-AP-10000159,TEC-AC-10002049,1,3,15,5009,0.000598922,0.333333333,0.022222222
240,OFF-AP-10003971,TEC-AC-10002049,1,9,15,5009,0.001796766,0.111111111,0.007407407
241,OFF-AR-10001130,TEC-AC-10002049,1,2,15,5009,0.000399281,0.5,0.033333333
242,OFF-AR-10003405,TEC-AC-10002049,1,4,15,5009,0.000798563,0.25,0.016666667
243,OFF-AR-10003560,TEC-AC-10002049,1,6,15,5009,0.001197844,0.166666667,0.011111111
244,OFF-BI-10000014,TEC-AC-10002049,1,8,15,5009,0.001597125,0.125,0.008333333
245,OFF-BI-10000546,TEC-AC-10002049,1,12,15,5009,0.002395688,0.083333333,0.005555556
246,OFF-BI-10001196,TEC-AC-10002049,1,4,15,5009,0.000798563,0.25,0.016666667
247,OFF-BI-10003166,TEC-AC-10002049,1,7,15,5009,0.001397485,0.142857143,0.00952381
248,OFF-EN-10003286,TEC-AC-10002049,1,7,15,5009,0.001397485,0.142857143,0.00952381
249,OFF-EN-10004459,TEC-AC-10002049,1,9,15,5009,0.001796766,0.111111111,0.007407407
250,OFF-FA-10002280,TEC-AC-10002049,1,10,15,5009,0.001996406,0.1,0.006666667
251,OFF-FA-10002676,TEC-AC-10002049,1,5,15,5009,0.000998203,0.2,0.013333333
252,OFF-PA-10000141,TEC-AC-10002049,1,4,15,5009,0.000798563,0.25,0.016666667
253,OFF-PA-10000167,TEC-AC-10002049,1,6,15,5009,0.001197844,0.166666667,0.011111111
254,OFF-PA-10001970,TEC-AC-10002049,1,19,15,5009,0.003793172,0.052631579,0.003508772
255,OFF-PA-10002586,TEC-AC-10002049,1,6,15,5009,0.001197844,0.166666667,0.011111111
256,OFF-PA-10003228,TEC-AC-10002049,1,5,15,5009,0.000998203,0.2,0.013333333
257,OFF-ST-10001325,TEC-AC-10002049,1,11,15,5009,0.002196047,0.090909091,0.006060606
258,TEC-AC-10002253,TEC-AC-10002049,1,4,15,5009,0.000798563,0.25,0.016666667
259,TEC-AC-10003023,TEC-AC-10002049,1,5,15,5009,0.000998203,0.2,0.013333333
260,TEC-AC-10003628,TEC-AC-10002049,2,15,15,5009,0.00299461,0.133333333,0.008888889
261,TEC-MA-10000418,TEC-AC-10002049,1,3,15,5009,0.000598922,0.333333333,0.022222222
262,TEC-MA-10001148,TEC-AC-10002049,1,5,15,5009,0.000998203,0.2,0.013333333
263,TEC-MA-10002981,TEC-AC-10002049,1,1,15,5009,0.000199641,1,0.066666667
264,TEC-PH-10000702,TEC-AC-10002049,2,5,15,5009,0.000998203,0.4,0.026666667
265,TEC-PH-10002922,TEC-AC-10002049,1,4,15,5009,0.000798563,0.25,0.016666667
266,TEC-PH-10003555,TEC-AC-10002049,1,9,15,5009,0.001796766,0.111111111,0.007407407
267,TEC-PH-10003601,TEC-AC-10002049,1,4,15,5009,0.000798563,0.25,0.016666667
268,TEC-PH-10003875,TEC-AC-10002049,1,3,15,5009,0.000598922,0.333333333,0.022222222
269,TEC-PH-10004908,TEC-AC-10002049,1,7,15,5009,0.001397485,0.142857143,0.00952381
270,FUR-BO-10000362,TEC-MA-10003356,1,5,2,5009,0.000998203,0.2,0.1
271,FUR-CH-10004754,TEC-MA-10003356,1,7,2,5009,0.001397485,0.142857143,0.071428571
272,FUR-FU-10003878,TEC-MA-10003356,1,6,2,5009,0.001197844,0.166666667,0.083333333
273,FUR-TA-10002607,TEC-MA-10003356,1,8,2,5009,0.001597125,0.125,0.0625
274,OFF-PA-10000349,TEC-MA-10003356,1,9,2,5009,0.001796766,0.111111111,0.055555556
275,TEC-AC-10002217,TEC-MA-10003356,1,7,2,5009,0.001397485,0.142857143,0.071428571
276,TEC-AC-10004353,TEC-MA-10003356,1,7,2,5009,0.001397485,0.142857143,0.071428571
277,FUR-BO-10000362,TEC-PH-10000441,1,5,8,5009,0.000998203,0.2,0.025
278,FUR-BO-10002824,TEC-PH-10000441,1,3,8,5009,0.000598922,0.333333333,0.041666667
